date,Account,daily_pnl,num_trades,avg_trade_size,win_rate,long_short_ratio,sentiment_group,losing_day,trader_activity,consistency,next_day_pnl,profitable_next_day
2024-10-27,0x083384f897ee0f19899168e3b1bec365f52a9012,-327505.900056,462,14810.891818181817,0.025974025974025976,0.43034055727554177,Greed,True,Infrequent,Inconsistent,1927735.720035,1
2025-02-19,0x083384f897ee0f19899168e3b1bec365f52a9012,1927735.720035,3356,16345.241939809297,0.40554231227651966,0.8811659192825112,Fear,False,Frequent,Inconsistent,,0
2024-10-27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,20607.446093000002,320,2492.74990625,0.53125,0.8285714285714286,Greed,False,Infrequent,Inconsistent,17098.727055,1
2025-02-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,17098.727055,3533,1693.3516841211435,0.43504104160769885,0.7620947630922693,Fear,False,Frequent,Inconsistent,10179.147366,1
2025-06-15,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,10179.147366,3427,1533.4683950977533,0.44236941931718704,0.6757946210268949,,False,Frequent,Inconsistent,,0
2024-07-03,0x271b280974205ca63b716753467d5a371de622ab,-1.0,5,6070.2,0.0,0.6666666666666666,Neutral,True,Infrequent,Inconsistent,1793.1602149999999,1
2024-10-27,0x271b280974205ca63b716753467d5a371de622ab,1793.1602149999999,5,31941.660000000003,0.8,1.5,Greed,False,Infrequent,Consistent,29970.928216,1
2025-02-19,0x271b280974205ca63b716753467d5a371de622ab,29970.928216,1136,10836.90096830986,0.43045774647887325,0.8031746031746032,Fear,False,Infrequent,Inconsistent,-102199.279749,0
2025-06-15,0x271b280974205ca63b716753467d5a371de622ab,-102199.279749,2663,8025.783559894856,0.246714232069095,0.6560945273631841,,True,Infrequent,Inconsistent,,0
2024-10-27,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,121880.386016,6472,483.5901143386898,0.4437577255871446,0.9113998818665091,Greed,False,Frequent,Inconsistent,10435.095669,1
2025-02-19,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,10435.095669,6794,533.2378127759788,0.4327347659699735,1.131116687578419,Fear,False,Frequent,Inconsistent,149.33286900000002,1
2025-06-15,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,149.33286900000002,45,97.98177777777778,0.5777777777777777,0.18421052631578946,,False,Infrequent,Inconsistent,,0
2024-10-27,0x2c229d22b100a7beb69122eed721cee9b24011dd,52215.729448,763,2941.8256880733943,0.4744429882044561,0.665938864628821,Greed,False,Infrequent,Inconsistent,116412.254606,1
2025-02-19,0x2c229d22b100a7beb69122eed721cee9b24011dd,116412.254606,2471,3205.000631323351,0.5337919870497774,0.5453408380237649,Fear,False,Infrequent,Inconsistent,30.02094,1
2025-06-15,0x2c229d22b100a7beb69122eed721cee9b24011dd,30.02094,5,542.1279999999999,0.6,0.6666666666666666,,False,Infrequent,Consistent,,0
2023-03-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,3,159.0,0.0,inf,Greed,False,Infrequent,Inconsistent,0.0,0
2023-11-14,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,2,23066.935,0.0,inf,Greed,False,Infrequent,Inconsistent,-5564.01614,0
2024-03-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-5564.01614,27,3048.5944444444444,0.3333333333333333,0.17391304347826086,Greed,True,Infrequent,Inconsistent,215.754798,1
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,215.754798,80,767.24775,0.1,0.7777777777777778,Neutral,False,Infrequent,Inconsistent,36993.371011,1
